Size, Proteins
2,199103,198988
2,198886,198883
2,193370,193369
2,193349,193348
2,193330,193329
2,193246,193244
2,193253,193187
2,193307,193144
2,193168,193137
2,193133,193132
2,193165,193122
2,193043,193039
2,193245,193011
2,193033,192967
2,191816,191815
2,191757,191756
2,191745,191700
2,191758,191666
2,189912,189911
2,189589,189588
2,189744,189574
2,189550,189549
2,189481,189480
2,189732,189405
2,189323,189305
2,189316,189295
2,189181,189156
2,189122,189112
2,189056,189051
2,187535,187319
2,187013,187012
2,186840,186839
2,186162,186161
2,183513,183510
2,181657,181646
2,181638,181637
2,181662,181575
2,181512,181505
2,181633,181472
2,181623,181453
2,181670,181440
2,181514,181349
2,181567,181290
2,181134,181133
2,181162,180959
2,181065,180956
2,179342,179339
2,179171,179166
2,179327,179157
2,179354,179120
2,179376,179060
2,178951,178950
2,179223,178927
2,179277,178917
2,179289,178914
2,178894,178880
2,178859,178769
2,178816,178765
2,178184,178172
2,178180,178113
2,178050,178049
2,178106,178015
2,178090,178014
2,178160,178003
2,178030,177981
2,176591,176590
2,175670,175669
2,175638,175637
2,175636,175633
2,175687,175602
2,174735,174716
2,174714,174713
2,174711,174643
2,174710,174628
2,174685,174611
2,174742,174605
2,174693,174570
2,174899,174483
2,174561,174470
2,174871,174384
2,174746,174355
2,171428,171380
2,171236,171216
2,171341,171211
2,171289,171186
2,171172,171169
2,171301,171163
2,171166,171107
2,171174,171086
2,171222,171084
2,171267,171082
2,171243,171057
2,166733,166716
2,165222,165126
2,164956,164943
2,164904,164879
2,164647,164646
2,163362,163356
2,163338,163337
2,163290,163289
2,163284,163283
2,163268,163258
2,163296,163246
2,163347,163213
2,163306,163196
2,158126,158048
2,158047,158046
2,156288,156287
2,156289,156205
2,154459,154454
2,154479,154449
2,154419,154377
2,153931,153930
2,153929,153928
2,153954,153927
2,153943,153898
2,153825,153824
2,154058,153766
2,153772,153747
2,154028,153744
2,153782,153742
2,153076,153064
2,151780,151773
2,151838,151768
2,151730,151729
2,151751,151722
2,151813,151713
2,151244,151243
2,151256,151217
2,151150,151149
2,151128,151127
2,151132,151063
2,151033,151032
2,151161,151016
2,151153,151006
2,151206,151003
2,151119,150997
2,150987,150979
2,150988,150976
2,151078,150964
2,151067,150961
2,150920,150918
2,150112,150057
2,149576,149516
2,149470,149466
2,148826,148821
2,148814,148807
2,148766,148761
2,148727,148623
2,148730,148596
2,148624,148524
2,148688,148472
2,148342,148341
2,148519,148337
2,148641,148296
2,148680,148283
2,148586,148252
2,148742,148229
2,148224,148222
2,148604,148197
2,147910,147855
2,269373,145035
2,269126,144845
2,296504,143193
2,327401,140816
2,335448,140254
2,267002,139717
2,200825,139617
2,396998,139500
2,266928,139143
2,380202,136998
2,316735,136743
2,171087,136449
2,352812,136326
2,141240,136316
2,272958,135583
2,378454,134336
2,268594,133960
2,157930,133904
2,136716,133527
2,135009,132874
2,132903,132865
2,131973,131849
2,135634,131299
2,131620,131111
2,134945,130978
2,132935,130654
2,139026,130580
2,133471,130176
2,396381,130164
2,135360,129589
2,266322,129112
2,136509,128948
2,134823,128851
2,134299,128271
2,132512,127910
2,128457,127835
2,134436,127684
2,128177,127598
2,127388,127355
2,396871,126475
2,133430,126115
2,127716,126071
2,128768,126001
2,132543,125673
2,127680,125451
2,131442,125287
2,134044,125225
2,149502,125212
2,269271,125169
2,129378,125085
2,131524,125044
2,249228,124970
2,126334,124628
2,125883,124541
2,218848,124156
2,130038,123916
2,293992,123620
2,136428,123477
2,133059,123255
2,124503,123241
2,125963,123185
2,319187,123095
2,127696,122792
2,123408,122339
2,127522,122337
2,396968,122130
2,128019,121547
2,129557,121444
2,122229,121400
2,127812,120985
2,198720,120767
2,122355,120396
2,122953,120257
2,133354,120163
2,371916,120018
2,126579,119898
2,125808,119697
2,126039,119595
2,183565,119373
2,125054,119349
2,128102,119331
2,130665,119286
2,129208,118765
2,131015,118547
2,124663,118316
2,125148,118311
2,135134,118274
2,134368,118238
2,130923,118216
2,122013,118010
2,129860,117876
2,126125,117856
2,121920,117780
2,123313,117532
2,126764,117497
2,125222,117421
2,117598,117415
2,117917,117292
2,120377,117290
2,129013,116984
2,134179,116646
2,116585,116397
2,122947,116151
2,130309,116122
2,128798,115864
2,391763,115455
2,129239,115345
2,121919,115243
2,118241,115151
2,178981,115122
2,127160,114918
2,372937,114337
2,267106,114336
2,125471,114317
2,116059,114221
2,117343,114201
2,118600,113962
2,135120,113937
2,122778,113876
2,125847,113436
2,269109,113260
2,119689,113200
2,134704,113140
2,133016,113086
2,115039,113032
2,116843,112780
2,133418,112765
2,113847,112392
2,118531,112321
2,368982,112296
2,117156,112290
2,115069,112137
2,121244,111902
2,125949,111815
2,122721,111660
2,115844,111632
2,309676,111584
2,125201,111557
2,124020,111553
2,132136,111386
2,117426,111173
2,269274,111107
2,111258,110900
2,228316,110778
2,119111,110375
2,118819,109523
2,121437,109510
2,114746,109264
2,109988,109258
2,120099,109195
2,122277,109167
2,193236,108733
2,127521,108399
2,116298,108285
2,119458,108253
2,204546,108227
2,111261,108205
2,123465,108145
2,116824,108072
2,115774,107911
2,115038,107652
2,117857,107421
2,329564,107205
2,379025,106939
2,123370,106776
2,115967,106519
2,236369,106452
2,218865,106193
2,130818,106126
2,361416,106062
2,107913,105913
2,122945,105805
2,378268,105487
2,113444,105300
2,375625,105235
2,179272,105127
2,130493,104970
2,105152,104689
2,112114,104667
2,114832,104556
2,276221,104318
2,123245,104287
2,105258,104169
2,174621,103973
2,368534,103808
2,189720,103740
2,168310,103678
2,105776,103578
2,293814,103389
2,108551,103180
2,103027,103026
2,110898,102909
2,102721,102692
2,361402,102618
2,110840,102235
2,123837,102108
2,102271,102074
2,120232,101846
2,102462,101750
2,113465,101685
2,124992,101553
2,108263,101515
2,102687,101357
2,102461,101166
2,102521,101138
2,104812,100996
2,117432,100822
2,102855,100749
2,101876,100538
2,102427,100398
2,101520,100095
2,101437,99974
2,100947,99971
2,102483,99965
2,100111,99701
2,127225,99537
2,100704,99097
2,106237,99081
2,132573,98971
